大数据架构工程师,深圳市华付信息技术有限公司,2-4万/月
数据分析师(电商运营),深圳市沃客非凡科技有限公司,0.6-1.2万/月
数据分析员,深圳市艾奴伊服饰有限公司,5-6.5千/月
数据分析师,深圳市融臻资产管理有限公司,4-8千/月
数据分析专员,深圳市海格物流股份有限公司,5-6.5千/月
数据库管理员DBA,深圳市思迪信息技术股份有限公司,1.3-1.9万/月
数据管理员-华为,上海泰仕达人力资源有限公司,0.8-1万/月
大数据讲师,传智播客教育集团深圳分校,3-5万/月
数据维护专员,周六福珠宝股份有限公司,4-6千/月
数据中心云计算产品线销售经理/业务员,深圳市比洋光通信科技股份有限公司,0.8-1.5万/月
大数据分析工程师,深圳市爱宝惟生物科技有限公司,2-2.5万/月
数据库工程师（工作地点：上海）,深圳四方精创资讯股份有限公司,6-8千/月
大数据分析师培训讲师,深圳市良翔文化发展有限公司,1-1.5万/月
数据中心高级运维经理,深圳市鹰硕技术有限公司,1.5-2.5万/月
数据分析师,深圳市卡连弗贸易有限公司,0.8-1万/月
商品主管（数据分析）,深圳市颖希企业设计发展有限公司,0.8-1万/月
医学数据产品经理,广州海鹚网络科技有限公司,2-4万/月
数据专员 / 电脑操作员,深圳市利时捷科技资讯有限公司,4.5-6.5千/月
数据挖掘工程师,爱克发感光器材（深圳）有限公司,40-80万/年
大数据开发工程师,深圳泽惠通通讯技术有限公司,1.5-3万/月
大数据运维工程师,北京源晨动力技术服务有限公司,0.8-1.5万/月
数据分析师（CS Operation Analyst）,奥宝精密电子（苏州）有限公司,6-8千/月
数据库管理（DBA）,广州华资软件技术有限公司深圳分公司,10-16万/年
数据分析专员/数据分析/商品专员,深圳歌力思服饰股份有限公司,5-8千/月
数据分析工程師   QQ音乐,天下同音（深圳）信息科技有限公司,2-2.5万/月
高级数据分析师,深圳唯修汇科技有限公司,1-2万/月
数据通信产品线售前工程师,中建材信息技术股份有限公司,0.8-1.6万/月
数据产品经理/分析师,深圳回收宝科技有限公司,1.5-3万/月
反欺诈大数据销售经理,深圳市和讯华谷信息技术有限公司,1-1.5万/月
DBA数据库管理工程师,深圳市安印科技有限公司,1.5-2.2万/月
EBS DBA 数据库管理员,深南电路股份有限公司,1-1.5万/月
大数据算法工程师,深圳白骑士大数据有限公司,1.5-3万/月
高级数据分析师,深圳优依购互娱科技有限公司,1-2万/月
数据分析师,深圳市荣格科技有限公司,0.6-1.2万/月
数据仓库工程师,吉林松花江融资租赁有限公司,1-2万/月
大数据分析工程师,博识峰云（深圳）信息技术有限公司,1-1.5万/月
销售行政专员/业务分析专员/数据专员,黑龙江省卓信农业发展集团有限公司,6-8千/月
销售数据分析,深圳市华宇讯科技有限公司,4.5-6千/月
数据分析主管,深圳市凯依克物流有限公司,0.7-1万/月
大数据开发工程师,北京赫德阳数据通信科技有限公司,1-1.5万/月
软件工程师（软件界面，数据库）,深圳市菲森科技有限公司,1.2-1.6万/月
DBA数据库管理工程师,深圳市金政软件技术有限公司,0.7-1万/月
Cache数据库工程师,深圳市新元素医疗技术开发有限公司,1.2-2.5万/月
数据模型开发工程师,上海罗盘信息科技有限公司,1-1.5万/月
数据开发专员,深圳市油柑科技有限公司,1-1.5万/月
大数据工程师(002071),东方网力科技股份有限公司,1.5-2.5万/月
500强外企#部门数据分析#,万宝盛华人力资源（中国）有限公司,5-6.5千/月
数据开发工程师,创金合信基金管理有限公司,2-3万/月
数据挖掘师,地上铁租车（深圳）有限公司,1.8-2万/月
数据调查员,深圳市英联国际不动产有限公司,4-6千/月
数据分析专员,深圳友宝科斯科技有限公司,0.7-1.5万/月
数据库工程师,万国数据服务有限公司,2-2.5万/月
数据库工程师DBA,深圳市友咖科技有限公司,1.2-2万/月
数据开发员,深圳市爱学宝科技有限公司,4-6千/月
大数据分析工程师,深圳德聚企业管理咨询有限公司,1.5-3万/月
数据对比专员（文员）,深圳市创驰蓝天科技发展有限公司,4-6千/月
资深数据分析师,卫盈联信息技术（深圳）有限公司,3-5万/月
数据分析师,健康元药业集团股份有限公司,1-2万/月
高级数据师,深圳市世联土地房地产评估有限公司,0.8-1.5万/月
大数据开发工程师(J10031),房多多网络科技,1.5-3万/月
高级数据产品经理,深圳市环球易购电子商务有限公司,2.5-5万/月
数据分析主管,深圳爱问科技股份有限公司,1.5-2.5万/月
数据录入文员 包住+包早餐,深圳景安盛科技发展有限公司,4.5-6千/月
数据处理专员/编辑,深圳市引导美电子商务有限公司,5-8千/月
大数据ETL开发工程师,上海易立德信息技术股份有限公司,1.5-2.3万/月
数据管理员,敬业（东莞）印刷包装厂有限公司,
数据管理员(002119),深圳当纳利印刷有限公司,4.5-6千/月
商务专员（偏数据）,深圳市国盛源商贸有限公司,5-7千/月
DBA  Mysql数据分析师,北京联龙博通电子商务技术有限公司,1-2万/月
数据文员,深圳海青智盈科技有限公司,4-5千/月
C++开发工程师(大数据),南京领添信息技术有限公司广州分公司,2.5-5万/月
数据库工程师,紫光日东科技（深圳）有限公司,1.2-1.8万/月
催收数据分析师,深圳市智灵时代科技有限公司,1.5-2.5万/月
大数据开发工程师,深圳市微科通讯设备有限公司,1.5-3万/月
大数据分析高级工程师,深圳吉阳智能科技有限公司,2-3万/月
FBA数据分析专员,深圳市生利普实业有限公司,0.7-1万/月
数据专员,妍丽化妆品（中国）有限公司,6-8千/月
数据采集工程师,深圳荣灿大数据技术有限公司,1-1.5万/月
DBA（高级数据库管理员）,天下支付科技有限公司,1.5-2.5万/月
